"title","company","location","salary","job_url","description","posted_at","schedule_type","site"
"PHP Laravel Developer(Full Stack Developer)","SIEC Education Pvt. Ltd","DL, IN","Not specified","https://in.indeed.com/viewjob?jk=b9fee96c19d89d9b","**Key Responsibilities:**

* Develop and maintain web applications using **Laravel and PHP**.
* Design and manage databases using **MySQL**.
* Build and consume **RESTful APIs** and integrate third\\-party services.
* Implement frontend components.
* Optimize application performance and security.
* Work with **Git version control** and manage CI/CD pipelines.
* Debug and troubleshoot issues across the stack.

**Requirements:**

✅ **Technical Skills:**

* 2\\+ years of experience in **Laravel \\& PHP development**.
* Strong knowledge of **Blade templating, Eloquent ORM, and Laravel migrations**.
* Experience with frontend frameworks.
* Proficiency in **HTML, CSS, Bootstrap and JavaScript (ES6\\+).**
* Strong understanding of **RESTful APIs, authentication (JWT, OAuth), and middleware**.
* Experience with **Git, GitHub/GitLab, and Agile development**.

✅ **Soft Skills:**

* Strong problem\\-solving skills and attention to detail.
* Ability to work independently and collaborate with cross\\-functional teams.
* Excellent communication and project management skills.

**Preferred Qualifications (Nice to Have):**

* Experience with **Livewire \\& Inertia.js**.
* Knowledge of **GraphQL, WebSockets, or Laravel Echo**.
* Exposure to **CI/CD pipelines, Docker, and Kubernetes**.
* Understanding of microservices architecture.
* Familiarity with **server management (Apache, Nginx, Docker)**.

**How to Apply :**

* Send your portfolio, resume, and a brief cover letter detailing your experience and interest in the role to **hro@siecindia.com** or \\+**91\\-7428897003**

Job Types: Full\\-time, Permanent

Pay: ₹25,000\\.00 \\- ₹45,000\\.00 per month

Benefits:

* Provident Fund

Work Location: In person","Not specified","Full-time","indeed"
"Backend Developer","Daily Tour and Travel Pvt. Ltd","DL, IN","Not specified","https://in.indeed.com/viewjob?jk=c64eb2af3c18c2f4","Job Title: Backend Developer Laravel – 3\\+ Years Experience

Location: Delhi

Job Type: Full\\-time

Experience: Minimum 3 Years

Job Summary:

We are seeking an experienced Backend Developer with solid expertise in Laravel. The ideal candidate should be highly proficient in API development and integration, database design, and writing clean, scalable logic. You will be responsible for building robust backend systems that integrate smoothly with frontend applications, ensuring security, performance, and scalability.

Key Responsibilities:

Develop and maintain backend services and APIs using Laravel (PHP) frameworks.

Integrate APIs seamlessly with frontend systems (React, Vue, or others).

Build scalable, reusable, and testable backend logic and services.

Design and manage relational databases (MySQL, PostgreSQL) and work with NoSQL (MongoDB) if required.

Write clean, well\\-structured, and documented code following industry best practices.

Implement security, data protection, and API authentication (OAuth2, JWT, Laravel Sanctum/Passport).

Collaborate with frontend developers, DevOps, QA, and product teams to deliver features end\\-to\\-end.

Optimize application performance and troubleshoot production issues.

Write and maintain unit and integration tests.

Required Skills:

3\\+ years of experience in backend development.

Strong hands\\-on experience with both Laravel (PHP).

Proficient in RESTful API development and API integration with frontend.

Strong in logic building, algorithms, and backend problem\\-solving.

Experience working with MySQL/PostgreSQL and ORM tools (Eloquent, Sequelize, TypeORM).

Good knowledge of authentication \\& authorization methods (JWT, Passport, etc.).

Familiarity with version control (Git), code branching, and deployment workflows.

Solid understanding of MVC architecture and clean code principles.

Preferred/Optional Skills:

Experience with WebSockets, queues (Redis, RabbitMQ, Laravel Horizon).

Knowledge of unit testing frameworks (Mocha, Chai, PHPUnit, Pest).

Familiarity with Docker and DevOps CI/CD pipelines.

Experience with AWS, Firebase, or cloud hosting platforms.

Exposure to GraphQL, gRPC, or microservices architecture.

Understanding of API rate limiting, caching, and performance tuning.

Soft Skills:

Strong analytical and logical thinking.

Excellent problem\\-solving and debugging skills.

Effective communication and collaboration in a team environment.

Self\\-motivated with the ability to manage tasks independently.

Job Types: Full\\-time, Permanent

Pay: ₹30,000\\.00 \\- ₹40,000\\.00 per month

Location Type:

* In\\-person

Schedule:

* Day shift
* Fixed shift

Work Location: In person

**Speak with the employer**  
\\+91 9205771006","Not specified","Full-time","indeed"
"Embedded Software Engineer","Shiv Shakti Enterprises","DL, IN","Not specified","https://in.indeed.com/viewjob?jk=bc99a7cef50355dd","**Looking for a Embedded Software Engineer...!!!!**

**Location: Delhi**

**Salary: Hike on Current Package**

**About the Role:**

We are seeking a Firmware Developer with a strong background in embedded systems and firmware development to join our cutting\\-edge team. You will play a key role in building IoT solutions, creating robust firmware for embedded devices, and contributing to the development of our cloud platforms and mobile apps.

Your expertise in C/C\\+\\+ programming, working with microcontrollers (STM32, NXP, PIC, Texas Instruments, etc.), and real\\-time embedded system design will be critical in ensuring the performance, reliability, and scalability of our products. The ideal candidate will have hands\\-on experience with hardware debugging, knowledge of communication protocols (Bluetooth, USB, UART, CAN, Modbus, etc.), and experience working with RTOS. In this role, you will collaborate with cross\\-functional teams in an agile environment, delivering firmware for innovative devices that are part of the larger IoT ecosystem.

**Key Responsibilities:**

* Perform routine maintenance and address equipment faults promptly.
* Design, develop, and optimize firmware for embedded systems using C/C\\+\\+, and Python.
* Develop solutions for microcontrollers like STM32, NXP, PIC, and Texas Instruments.
* Work on communication protocols including Bluetooth, USB, UART, Modbus, CAN, I2C, SPI, Ethernet, Wi\\-Fi, and RF.
* Working knowledge and interfaces of different type of touch display is necessary Debug hardware using tools like Digital Storage Oscilloscopes (DSO), multimeters, and function generators.
* Collaborate with cross\\-functional teams to integrate firmware into the IoT Cloud Platform and Desktop App. Develop and integrate firmware for RTOS and handle sensor interfacing and signal conditioning.
* Use IDEs such as IAR Workbench, STM32 Cube IDE, Keil Micro vision, etc. Ensure firmware aligns with the product’s low\\-power design and optimization needs.

**Key Deliverables:** 

* Build robust firmware for IoT devices linked to other platforms and apps.
* Deliver successful completion of 2\\-3 firmware projects for embedded applications.
* Provide high\\-quality documentation and implement unit testing and system testing.
* Collaborate with the agile team to meet project timelines and maintain firmware performance.

**Qualifications:**

* Degree in Engineering (Computer Science, Data Science, Electronics, Electrical).

**Technical Skills:** 

* Proficiency in Embedded C/C\\+\\+ programming.
* Hands\\-on experience with microcontrollers like NXP, PIC, and Texas Instruments.
* Preferably STM32 microcontrollers.
* Experience with IDEs and development tools such as IAR Workbench, CCS, e2 Studio, STM32 Cube IDE, Kiel Micro vision.
* Strong understanding of communication protocols like Bluetooth, USB, UART, Modbus, I2C, SPI, Ethernet, Wi\\-Fi, and RF.
* Knowledge of tools like Digital Storage Oscilloscope (DSO), multimeters, and function generator for debugging hardware.
* Experience with Unit Testing and System Testing. Experience with RTOS development and integration.

**Interested candidates can send their cv on ""hrfireandsafetyindia19@gmail.com""**

Job Type: Full\\-time

Pay: ₹30,000\\.00 \\- ₹100,000\\.00 per month

Benefits:

* Cell phone reimbursement

Schedule:

* Day shift

Supplemental Pay:

* Performance bonus

Work Location: In person

**Speak with the employer**  
\\+91 9773998464","Not specified","Full-time","indeed"
"Lead Full Stack Developer","TECTICONISM Studio","DL, IN","Not specified","https://in.indeed.com/viewjob?jk=d47c2138c0d46668","**About the Role:**

We are looking for a **Lead Full Stack Developer** to head our engineering team and shape the future of our technology. This role is perfect for a hands\\-on developer and team builder who thrives on creating powerful, scalable products from the ground up.

You’ll use **JavaScript**, **TypeScript**, **Node.js**, **Next.js**, and **PostgreSQL** to build and scale our platform—and lead a team of talented engineers while doing it.

**We do not require any formal qualifications or specific years of experience.**  
If you have the **skills, vision, and drive to lead and build**, we want to hear from you.

**Key Responsibilities:**

* Lead the development team in building scalable, high\\-performance applications.
* Architect and develop features using our core tech stack.
* Set the technical direction and uphold engineering best practices.
* Mentor team members, conduct code reviews, and foster a collaborative team culture.
* Collaborate with product and design teams to turn ideas into reality.
* Continuously improve code quality, performance, and system scalability.
* Manage task planning and delivery in an agile workflow.

**Tech Stack:**

* **Frontend:** Next.js, React, JavaScript, TypeScript
* **Backend:** Node.js, Express (or similar)
* **Database:** PostgreSQL
* **Version Control \\& Deployment:** Git, CI/CD pipelines
* **Optional/Bonus:** Docker, AWS/GCP, GraphQL, WebSockets, Redis

**Who You Are:**

* You can **build scalable systems** and write clean, maintainable code.
* You can **lead a team** while staying hands\\-on in the codebase.
* You think in systems, imagine new features, and love solving real\\-world problems.
* You believe great teams are built on **trust, openness, and continuous learning**.

**Preferred (But Not Required):**

* Familiarity with cloud platforms like AWS, GCP, or Azure.
* Experience with Docker, CI/CD, or real\\-time applications (e.g., WebSockets).
* Knowledge of GraphQL, microservices, or security best practices.

**Why Join Us?**

* **Be a team member** in an upcoming big tech startup with huge growth potential.
* **No degree or resume barriers** – just bring your skills and creativity.
* Lead and shape an engineering team from day one.
* Work on impactful, challenging projects that truly make a difference.
* Freedom to experiment, innovate, and own your work end\\-to\\-end.

**To Apply:**  
Send us a brief intro about yourself and any links (GitHub, portfolio, projects, etc.) to \\[your email or application link]. Don’t worry about formalities—we care more about **what you can do** than where you’ve been.

Job Types: Full\\-time, Permanent, Fresher

Pay: ₹360,000\\.00 \\- ₹420,000\\.00 per year

Benefits:

* Health insurance
* Life insurance

Schedule:

* Day shift
* Monday to Friday

Experience:

* JavaScript: 1 year (Required)
* TypeScript: 1 year (Required)
* Node.js: 1 year (Required)
* PostgreSQL: 1 year (Required)

Work Location: In person","Not specified","Full-time","indeed"
"Node JS Intern (Backend Developer)","LifeLinkr","DL, IN","Not specified","https://in.indeed.com/viewjob?jk=d1c311f55291bae8","**Job Title: Backend Developer Intern**

**Description:**

We are seeking a highly skilled and enthusiastic intern to join our team at LifeLinkr. The ideal candidate will have a strong background in web development, with a focus on creating dynamic, high\\-quality web applications using Node.JS. You will be working alongside our team of talented developers and designers to develop, test, and deploy applications that meet the needs of our users.

Company: LifeLinkr \\| (Do Not Fill the Calendar Link it is only for Product Demo of the Software, We have separate link for Career)

Location: onsite

Education: Pursuing/completed B.Tech, B.E., MCA, or BCA (3rd or 4th year students)

**Stipend \\- Rs 8000 Monthly (Non Negotiable)**

Responsibilities:

Assist in developing and maintaining backend services using Node.js.

Collaborate with the frontend team to integrate AngularJS components.

Manage and optimize database systems, ensuring data integrity and efficiency.

Participate in code reviews and contribute to the improvement of our codebase.

Support the team in troubleshooting and resolving backend issues.

Skills Required:

Proficiency in Node.js for backend development.

Understanding of AngularJS for frontend\\-backend integration.

Knowledge of database concepts and management.

Strong problem\\-solving skills and attention to detail.

Ability to work in a hybrid model (remote and on\\-site as needed).

* HTML (Required)
* CSS (Required)
* JS (Must)
* EJS
* Jquery (Better If you know)
* DOM

What We Offer:

Hands\\-on experience with modern web technologies.

Mentorship from experienced developers.

Flexible working environment.

Opportunity to work on real\\-world projects and contribute to the team.

Job Types: Full\\-time, Internship, Fresher  
Contract length: 6 months

Pay: ₹6,000\\.00 \\- ₹8,000\\.00 per month

Benefits:

* Paid sick time
* Paid time off

Location Type:

* In\\-person

Work Location: In person

**Speak with the employer**  
\\+91 \\+919810490758","Not specified","Contract","indeed"
"Senior Consultant | Java Developer | Delhi | Customer Strategy & Design","Deloitte","DL, IN","Not specified","https://in.indeed.com/viewjob?jk=f48455259ee97c02","Job requisition ID :: 82484
Date: May 26, 2025
Location: Delhi
Designation: Senior Consultant
Entity:
**Job Description**

* Design, develop, and deploy chatbots and conversational experiences.
* Experience with hosting and deploying applications on Azure or AWS.
* Managing cloud infrastructure, deploying applications, ensuring scalability and security, optimizing performance, and troubleshooting issues.
* Expertise in cloud services and automation tools.
* Work closely with stakeholders to gather requirements and translate them into technical specifications.
* Conduct testing and debugging to ensure the reliability and performance of chatbot solutions.
* Provide ongoing support and maintenance for deployed chatbots, including troubleshooting and resolving issues.
* Collaborate with different stakeholders to understand business objectives, technical requirements, and pain points.
* Stay updated on industry trends and best practices related to conversational AI and customer engagement.

 **Requirements:**

* **Education:** Bachelor's degree in Computer Science, Engineering, or related field. Master's degree preferred.
* **Experience:** 6\\+ years in software development, or related roles.
* Proficiency in **Java** programming language and J2EE technologies, including servlets, JSP, EJB, JMS, JDBC, and JPA.
* Proven experience in **integrating WhatsApp APIs** for seamless communication solutions.
* Strong proficiency in designing, developing, and deploying scalable microservices on cloud platforms using **Java Spring Boot.**
* Skilled in building responsive server\\-side applications with Node.js and implementing efficient messaging with **RabbitMQ** and **Redis**.
* Experience in working with **web services** technologies, including SOAP, REST, and JSON/XML with knowledge of **SQL**
* Strong troubleshooting and debugging skills, with the ability to analyze and resolve complex technical issues.
* Familiarity with DevOps practices and tools such as Jenkins and ITSM tools like ServiceNow, Jira.
* Strong understanding of **NLP**, machine learning, and chatbot technologies.
* Excellent communication and presentation skills.
* Strong problem\\-solving skills and attention to detail.
* Ability to work independently and collaboratively in a fast\\-paced environment.","Not specified","Full-time","indeed"
"Backend Developer (node.js + Laravel)","Khelo Tech & Strategy Pvt Ltd - Allsport.in","DL, IN","Not specified","https://in.indeed.com/viewjob?jk=6a9138ad57f55f6c","**Key Responsibilities:**

* Develop back\\-end services. Write clean, efficient code to create scalable back\\-end services and APIs using Node.js.
* Collaborate with front\\-end teams. Work closely with front\\-end developers to integrate user\\-facing elements with server\\-side logic.
* Maintain databases. Design, implement, and optimize database schemas, ensuring data integrity and efficient storage.
* Optimize application performance. Monitor and improve server\\-side performance and troubleshoot issues related to scalability and speed.
* Ensure security. Implement security best practices, including authentication, authorization, and data encryption.
* Proven experience as a Node.js \\+ Laravel developer or in a similar back\\-end development role.
* Strong understanding of JavaScript, Node.js, and related frameworks (e.g., Express.js).
* Excellent problem\\-solving and debugging skills.
* Ability to design and implement RESTful APIs.
* Proficiency in database management systems, such as MongoDB, MySQL, or PostgreSQL.
* Knowledge of microservices architecture.

**Preferred Skills \\& Qualifications:**

* Bachelor's or Master’s degree in Computer Science, Engineering, or a related field.
* 3\\+ years of experience in Back\\-end development (e.g., Node.js\\+ Laravel ).
* Familiarity of working with cloud platforms (e.g., AWS, Azure, or Google Cloud).
* Strong understanding of DevOps practices and containerization tools (e.g., Docker, Kubernetes).

**Location :** Delhi , Saket

Job Types: Full\\-time, Permanent

Pay: ₹500,000\\.00 \\- ₹900,000\\.00 per year

Location Type:

* In\\-person

Schedule:

* Day shift

Work Location: In person","Not specified","Full-time","indeed"
"React Native Developer","CRATERZONE PVT LTD","DL, IN","Not specified","https://in.indeed.com/viewjob?jk=5d6da5e656a56c5a","Job Description of React Native

1\\) Build and maintain scalable mobile applications using React Native for both Android and iOS platforms.

2\\) Create intuitive and responsive user interfaces that align with provided designs and ensure consistent performance across devices.

3\\) Connect applications with RESTful APIs, GraphQL, and third\\-party services; manage local and cloud data storage efficiently.

4\\) Write clean, modular, and maintainable JavaScript/TypeScript code; follow best practices and ensure code reusability.

5\\) Identify and fix bugs, write unit and integration tests, and optimize app performance for speed, memory, and responsiveness.

6\\) Collaborate with designers, backend developers, and product managers; actively participate in agile ceremonies like sprints and code reviews.

Job Types: Full\\-time, Permanent

Pay: ₹20,000\\.00 \\- ₹30,000\\.00 per month

Benefits:

* Health insurance
* Paid sick time
* Provident Fund

Schedule:

* Day shift

Supplemental Pay:

* Performance bonus
* Yearly bonus

Experience:

* React Native: 1 year (Preferred)
* Android: 1 year (Preferred)
* iOS: 1 year (Preferred)

Work Location: In person","Not specified","Full-time","indeed"
"Flutter Developer","CRATERZONE PVT LTD","DL, IN","Not specified","https://in.indeed.com/viewjob?jk=fe0bdf82a47fc2fa","Job Description of Flutter Developer

1\\) Develop and maintain high\\-quality mobile applications using Flutter for both Android and iOS platforms.

2\\) Translate UI/UX designs into responsive and interactive user interfaces with pixel\\-perfect accuracy.

3\\) Integrate applications with RESTful APIs, Firebase, and other backend services for dynamic data handling.

4\\) Write clean, maintainable, and efficient Dart code; conduct regular code reviews and refactoring.

5\\) Identify and fix bugs; implement unit, widget, and integration tests to ensure app stability and performance.

6\\) Work closely with cross\\-functional teams and actively participate in agile development processes like daily standups and sprint planning.

Job Types: Full\\-time, Permanent

Pay: ₹20,000\\.00 \\- ₹30,000\\.00 per month

Benefits:

* Health insurance
* Paid sick time
* Provident Fund

Schedule:

* Day shift

Supplemental Pay:

* Performance bonus
* Yearly bonus

Experience:

* iOS development: 1 year (Preferred)
* Android Development: 1 year (Preferred)
* Flutter: 1 year (Preferred)

Work Location: In person","Not specified","Full-time","indeed"
"Senior PHP Developer","CAPRICORN IDENTITY SERVICES PRIVATE LIMITED","DL, IN","Not specified","https://in.indeed.com/viewjob?jk=53f4b73b7d62eae8","**Job description**

* Hands\\-on 2\\+ years of programming experience in PHP\\-MySQL
* Knowledge of object\\-oriented PHP programming
* Experience in integration of REST API
* Excellent in JavaScript and jQuery
* Good Knowledge in JSON, XML, HTML5 and CSS3

**Requirements\\-**

* 2\\+ years of experience in core PHP
* 1\\+years of experience in Laravel
* 1\\+ years of experience in Angular/React/vue js
* Good experience in PHP frameworks such as CI/CakePHP/Yii.
* 1\\+ years of experience in server\\-side web application logics \\& integrations.
* Good understanding of modern standards\\-based HTML, CSS (SASS/LESS).ular/React/vue js
* Good experience in PHP frameworks such as CI/CakePHP/Yii.
* 1\\+ years of experience in server\\-side web application logics \\& integrations.
* Good understanding of modern standards\\-based HTML, CSS (SASS/LESS).

Job Type: Full\\-time

Pay: ₹22,000\\.00 \\- ₹30,000\\.00 per month

Ability to commute/relocate:

* Delhi, Delhi: Reliably commute or planning to relocate before starting work (Required)

Education:

* Higher Secondary(12th Pass) (Preferred)","Not specified","Full-time","indeed"
"TravClan Careers 2025 | Backend Developer","TravClan","Delhi, Delhi, India","Not specified","https://www.linkedin.com/jobs/view/4235486873","","Not specified","Full-time","linkedin"
"Software Development Engineer","CAF (Construcciones y Auxiliar de Ferrocarriles)","Delhi Cantonment, Delhi, India","Not specified","https://www.linkedin.com/jobs/view/4142345139","","Not specified","Full-time","linkedin"
"AI ML Developer","Virtusa","Delhi, Delhi, India","Not specified","https://www.linkedin.com/jobs/view/4206035189","","Not specified","Full-time","linkedin"
"Python Developer","Taxmann","Delhi, India","Not specified","https://www.linkedin.com/jobs/view/4234664371","","Not specified","Full-time","linkedin"
"Software Development Engineer #RO","CAF (Construcciones y Auxiliar de Ferrocarriles)","Delhi Cantonment, Delhi, India","Not specified","https://www.linkedin.com/jobs/view/4142340445","","Not specified","Full-time","linkedin"
"Senior Software Developer (Java) x3","SITA","Delhi, India","Not specified","https://www.linkedin.com/jobs/view/4185459030","","Not specified","Full-time","linkedin"
"Software Developer 4","Oracle","Delhi Cantonment, Delhi, India","Not specified","https://www.linkedin.com/jobs/view/4206094584","","Not specified","Full-time","linkedin"
"SDE2","Amazon","Delhi, Delhi, India","Not specified","https://www.linkedin.com/jobs/view/4126617432","","Not specified","Full-time","linkedin"
"Software Engineer (Python)","Outlier","Delhi, India","Not specified","https://www.linkedin.com/jobs/view/4234656316","","Not specified","Full-time","linkedin"
"Automation Testing - Associate","JPMorganChase","Delhi, Delhi, India","Not specified","https://www.linkedin.com/jobs/view/4207821091","","Not specified","Full-time","linkedin"
"Nodejs Developer","Algoworks","Delhi, Delhi, India","Not specified","https://www.linkedin.com/jobs/view/4236947388","","Not specified","Full-time","linkedin"
"Software Dev Engineer I, Amazon University Talent Acquisition","Amazon","Delhi, Delhi, India","Not specified","https://www.linkedin.com/jobs/view/4192062430","","Not specified","Full-time","linkedin"
"Full Stack Development Internship in Delhi","Swyftin","Delhi, India","Not specified","https://www.linkedin.com/jobs/view/4238131092","","Not specified","Full-time","linkedin"
"PHP Developer (India Remote)","Cartrack","Delhi, India","Not specified","https://www.linkedin.com/jobs/view/4235422000","","Not specified","Full-time","linkedin"
"Remote Coding Expertise for AI Training","Outlier","Delhi, India","Not specified","https://www.linkedin.com/jobs/view/4221194217","","Not specified","Full-time","linkedin"
"Senior Software Engineer","Microsoft","Delhi, India","Not specified","https://www.linkedin.com/jobs/view/4238104788","","Not specified","Full-time","linkedin"
"Offensive Security Engineer","Tide","New Delhi, Delhi, India","Not specified","https://www.linkedin.com/jobs/view/4082484220","","Not specified","Full-time","linkedin"
"Remote Fullstack Developer - 17853","Turing","Delhi, India","Not specified","https://www.linkedin.com/jobs/view/4237746896","","Not specified","Full-time","linkedin"
"Automation Developer, India","AlgoSec","New Delhi, Delhi, India","Not specified","https://www.linkedin.com/jobs/view/4238162709","","Not specified","Full-time","linkedin"
"Software Development Position Open","beBee Careers","New Delhi, Delhi","Not specified","https://in.trabajo.org/job-3150-bccdc926f1af4a4830424d460318315b?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Job Title: Software Developer

We are seeking a talented Software Developer to join our team. As a software developer, you will play a key role in designing, developing, and testing software applications.

Responsibilities:
• Design and develop software applications using various programming languages and technologies.
• Collaborate with cross-functional teams to identify and prioritize project requirements.
• Write clean, modular, and well-documented code that meets the highest standards of quality.
• Participate in code reviews and contribute to the improvement of the development process.
• Maintain and enhance existing software applications to ensure they continue to meet business needs.

Qualifications:
• Bachelor's degree in Computer Science or related field.
• Proficiency in one or more programming languages such as Java, Python, C++, etc.
• Experience with Agile development methodologies and version control systems like Git.
• Familiarity with cloud-based technologies and containerization.
• Strong problem-solving skills and ability to work under pressure.

What We Offer:
• A dynamic and collaborative work environment.
• Ongoing training and professional development opportunities.
• Competitive salary and benefits package.
• Flexible working hours and remote work options.
• Opportunities for growth and advancement within the company.","Not specified","Full-time","google"
"Azcom Technology | Technical Leader | Protocol Stack|","Confidential","New Delhi, Delhi","Not specified","https://callcenterjob.co.in/azcom-technology-technical-leader-protocol-stack-new-delhi_459276?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Job Description : SSE/Lead Engineer - Protocol Stack Development Summary : Senior Software Engineer/ Lead Engineer shall be responsible for delivering high quality, optimized software related to gNodeB protocol stacks. As an individual contributor, the candidate shall participate in all phases of SDLC and devise innovative solutions to technical problems. Expectations From The Role • As an individual contributor, participate in all phases of SDLC in a product development environment • Solid grip on software engineering principles and relevant technical domain of 5G-NR. • Ensure adherence to design and coding best practices and applicable standards • Liaise with customers on issues related to system and feature design and optimization Domain Expertise Required • Proficient in the development of one or more layers of 5G-NR or LTE protocol stack • Strong in 5G/LTE protocols e.g. MAC/RLC/PDCP/RRC/SDAP • Design and architecture of CU or DU modules and their submodules • Has exposure to 5G-NR, NB-IoT or LTE 3GPP specifications. • Strong in C/C++, Data Structures, OS, Design Pattern (ref:hirist.com","Not specified","Full-time","google"
"Java Software Engineer","beBee Careers","New Delhi, Delhi","Not specified","https://in.bebee.com/job/00ce5c27d28c7895164bb30c8c5ce325?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","About the Role:
"">

We are looking for a skilled Java Developer to join our team. The ideal candidate will have experience in designing and building scalable micro-services using API-First principles.
"">

Main Responsibilities:
"">
"">
• Design, develop, and implement secure, scalable, and reliable micro-services to deliver client-facing applications built on Java technologies."">
• Contribute to individual project priorities, deadlines and deliverables using AGILE methodologies."">
• Deliver highly efficient, highly available, concurrent and fault tolerant software systems."">
• Work with product management and business users to deliver the roadmap for the product."">
• Design and develop innovative solutions to complex problems, identifying issues and roadblocks."">
"">

Requirements and Qualifications:
"">

To be successful in this role, you will need:
"">
"">
• A minimum of 3+ years hands-on experience in Java/Spring Framework/Spring Boot."">
• Experience of Java 17+."">
• Experience designing and building scalable micro-services using API-First principles using at least one of REST/gRPC."">
• Exposure to Docker, Kubernetes and cloud services is beneficial."">
• Experience in message brokers such as Kafka is a plus."">
• Demonstrable experience building modern software using engineering tools such as git, maven, unit testing and integration testing tools, mocking frameworks."">
• Effective communication and presentation skills (written and verbal) are required."">
• A real-world practitioner of OO development coupled with an understanding of applying standard Design Patterns to your software design."">
• Strong analytical problem-solving skills with an ability to pick up new concepts quickly."">
• Friendly, positive and can-do attitude."">
"">

Your Benefits:
"">

The ideal candidate will have a strong passion for coding and a desire to work collaboratively with a talented team of engineers.
"">

About You:
"">

You will be a self-motivated and proactive individual who is eager to take on new challenges and responsibilities.","Not specified","Full-time","google"
"Senior Software Engineer - Technical Leadership","beBee Careers","New Delhi, Delhi","Not specified","https://in.bebee.com/job/8119aa167a03f805239a05653ce2a30c?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic","Senior Software Engineer - Technical Leadership

This role involves providing module-level technical leadership on teams developing and updating enterprise scale applications. The successful candidate will work as a member of an agile software development team with full participation in all Agile team events and activities.
Key Responsibilities
• Provide technical leadership on teams developing and updating enterprise scale applications.
• Work as a member of an agile software development team with full participation in all Agile team events and activities.
• Take lead for the development of more complex components or functions with special requirements within a sprint.
• Demonstrate strong knowledge of business and domain, support Product Owner and Engineering Manager in defining product roadmap and backlog by providing technical input.
• Work in collaboration with other team members on an agile team to analyze user stories, perform task breakdown and define technical approach and complete committed tasks as per sprint schedule.
Requirements
• Bachelor's or equivalent degree.
• 8-10+ years of experience in developing enterprise scale applications.
• Demonstrated knowledge of agile software development methodologies and processes.
• Demonstrated record of strong performance in prior software development positions.
• Strong communication and customer service skills.
• Strong analytic and problem-solving skills.","Not specified","Full-time","google"
